Exercise ID,Name,Target Deficit,Body Region,Difficulty,Equipment,Instructions,Progression Reps,Safety Notes
EXE-026,Deep Breathing,Emotional Regulation,General,1,None,Inhale slowly for 4 counts and hold for 4 counts and exhale for 4 counts,5 minutes,Perform seated or lying down
EXE-027,Relaxation Technique,Emotional Regulation,General,1,None,Tense and release muscle groups progressively from toes to head,10 minutes,Perform in quiet space
EXE-028,Guided Imagery,Emotional Regulation,General,2,None,Visualize calm peaceful scenes while practicing slow breathing,10-15 minutes,Use quiet environment
EXE-029,Knee Lifts,Lower Limb Strength,Lower Limb,2,Chair,Sit in chair and lift one knee up toward chest and hold for 2 seconds and lower slowly,3 sets of 10 reps,Keep back against chair
EXE-030,Heel Slides,Lower Limb Strength,Lower Limb,2,Bed/Floor,Lie on back and slide heel toward buttock and hold for 2 seconds and slide back,3 sets of 10 reps,Use smooth surface for sliding
EXE-031,Glute Squeezes,Lower Limb Strength,Lower Limb,2,None,Squeeze buttock muscles and hold for 5 seconds and release,3 sets of 10 reps,Perform seated or standing
EXE-032,Calf Raises,Lower Limb Strength,Lower Limb,3,Countertop,Stand facing counter and rise up on toes and hold for 2 seconds and lower down,3 sets of 10 reps,Hold counter for balance
EXE-033,Step-Ups,Lower Limb Strength,Lower Limb,3,Step/Stair,Step up onto low step with one leg and step down and alternate legs,3 sets of 8 reps,Use handrail for safety
EXE-034,Tandem Walking,Balance,Lower Limb,4,None,Walk in straight line placing one foot directly in front of other,2-3 minutes,Perform near wall for safety
EXE-035,Sit and Reach,Flexibility,Lower Limb,2,Chair,Sit in chair and reach toward toes and hold for 15 seconds and return to start,3 sets of 5 reps,Do not bounce or force stretch
EXE-036,Hip Flexor Stretch,Flexibility,Lower Limb,2,Chair,Sit in chair and pull one knee toward chest and hold for 15 seconds each leg,3 sets of 5 reps,Keep back straight
EXE-037,Arm Circles,Upper Limb Strength,Upper Limb,2,None,Extend arms out to sides and make small circles forward for 30 seconds and reverse,3 sets,Keep movements controlled
EXE-038,Bicep Curls,Upper Limb Strength,Upper Limb,2,Dumbbell/Can,Hold weight and bend elbow bringing weight toward shoulder and lower slowly,3 sets of 10 reps,Use light weight initially
EXE-039,Tricep Extensions,Upper Limb Strength,Upper Limb,2,Dumbbell/Can,Hold weight overhead and bend elbow lowering weight behind head and extend back up,3 sets of 10 reps,Keep elbow stationary
EXE-040,Wrist Flexion,Upper Limb Strength,Upper Limb,2,Dumbbell/Can,Hold weight with palm up and bend wrist upward and lower slowly,3 sets of 10 reps,Keep forearm supported
EXE-041,Pronation Supination,Upper Limb Strength,Upper Limb,2,Dumbbell/Can,Hold weight with arm bent and rotate forearm palm up then palm down,3 sets of 10 reps,Keep elbow at 90 degrees
EXE-042,Shoulder Abduction,Upper Limb Strength,Upper Limb,2,Dumbbell/Can,Hold weights at sides and raise arms out to sides to shoulder height and lower,3 sets of 10 reps,Keep movements slow and controlled
EXE-043,Shoulder Flexion,Upper Limb Strength,Upper Limb,2,Dumbbell/Can,Hold weights at sides and raise arms forward to shoulder height and lower slowly,3 sets of 10 reps,Avoid arching back
EXE-044,Seated Marching Advanced,Mobility,Lower Limb,3,Chair,Sit in chair and lift knees alternately higher than basic version and maintain rhythm,2 sets of 20 reps,Increase speed gradually
EXE-045,Standing Balance,Balance,Lower Limb,3,Countertop,Stand with feet hip-width apart and maintain balance without holding counter,Hold for 30-60 sec,Have counter nearby for safety
EXE-046,Gait Training,Functional Mobility,Lower Limb,3,Walker/Cane,Walk with assistive device focusing on even weight distribution and smooth gait,10-15 minutes,Use appropriate assistive device
EXE-047,Stair Training,Functional Mobility,Lower Limb,4,Stairs,Practice going up and down stairs with handrail and one step at a time,5-10 minutes,Always use handrail
EXE-048,Coordination Drill,Coordination,General,3,None,Touch nose with finger and then touch examiners finger at arms length and alternate,2 minutes,Perform slowly and deliberately
EXE-049,Rapid Alternating,Coordination,General,3,None,Tap knees alternately with hands as quickly as possible while maintaining control,1 minute,Focus on accuracy over speed
EXE-050,Cross Body Reach,Coordination,General,3,None,Reach right hand across body to touch left shoulder and alternate sides,3 sets of 10 reps,Keep movements smooth and controlled
